Indicator_data,case_id,First Tooltip
Life expectancy at birth (years),"Denmark,2010,Female",81.1
Life expectancy at birth (years),"Denmark,2000,Both sexes",76.93
Life expectancy at birth (years),"Denmark,2000,Male",74.66
Life expectancy at birth (years),"Denmark,2000,Female",79.13
Life expectancy at birth (years),"Djibouti,2015,Both sexes",64.64
Life expectancy at birth (years),"Djibouti,2015,Male",62.84
Life expectancy at birth (years),"Djibouti,2015,Female",66.62
Life expectancy at birth (years),"Djibouti,2010,Both sexes",61.87
Life expectancy at birth (years),"Djibouti,2010,Male",60.63
Life expectancy at birth (years),"Djibouti,2010,Female",63.26
Life expectancy at birth (years),"Djibouti,2000,Both sexes",59.84
Life expectancy at birth (years),"Djibouti,2000,Male",57.87
Life expectancy at birth (years),"Djibouti,2000,Female",61.96
Life expectancy at birth (years),"Dominican Republic,2015,Both sexes",71.75
Life expectancy at birth (years),"Dominican Republic,2015,Male",68.62
Life expectancy at birth (years),"Dominican Republic,2015,Female",75.2
Life expectancy at birth (years),"Dominican Republic,2010,Both sexes",73.17
Life expectancy at birth (years),"Dominican Republic,2010,Male",70.43
Life expectancy at birth (years),"Dominican Republic,2010,Female",76.14
Life expectancy at birth (years),"Dominican Republic,2000,Both sexes",73.22
Life expectancy at birth (years),"Dominican Republic,2000,Male",70.22
Life expectancy at birth (years),"Dominican Republic,2000,Female",76.66
Life expectancy at birth (years),"Ecuador,2015,Both sexes",77.18
Life expectancy at birth (years),"Ecuador,2015,Male",74.92
Life expectancy at birth (years),"Ecuador,2015,Female",79.5
Life expectancy at birth (years),"Ecuador,2010,Both sexes",75.02
Life expectancy at birth (years),"Ecuador,2010,Male",72.31
Life expectancy at birth (years),"Ecuador,2010,Female",77.86
Life expectancy at birth (years),"Ecuador,2000,Both sexes",74.53
Life expectancy at birth (years),"Ecuador,2000,Male",71.91
Life expectancy at birth (years),"Ecuador,2000,Female",77.27
Life expectancy at birth (years),"Egypt,2015,Both sexes",70.49
Life expectancy at birth (years),"Egypt,2015,Male",68.22
Life expectancy at birth (years),"Egypt,2015,Female",72.89
Life expectancy at birth (years),"Egypt,2010,Both sexes",70.2
Life expectancy at birth (years),"Egypt,2010,Male",67.82
Life expectancy at birth (years),"Egypt,2010,Female",72.69
Life expectancy at birth (years),"Egypt,2000,Both sexes",69.82
